"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"89","1224E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Rivoli - Avigliana - Bussoleno","sabato","horizontal","1224E_Di","1","","0","0"
"90","1224E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Rivoli - Avigliana - Bussoleno","domenica e festivi","horizontal","1224E_Di","2","","0","0"
"91","13U","1","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI MATTUTINI","frequenza","horizontal","13U_As","0","","0","0"
"92","13U","1","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI SERALI","frequenza","horizontal","13U_As","1","","0","0"
"93","13U","1","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI MATTUTINI","frequenza","horizontal","13U_As","2","","0","0"
"94","13U","1","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI SERALI","frequenza","horizontal","13U_As","3","","0","0"
"95","13U","1","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI MATTUTINI","frequenza","horizontal","13U_As","4","","0","0"
"96","13U","1","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: PIAZZA GRAN MADRE, PASSAGGI SERALI","frequenza","horizontal","13U_As","5","","0","0"
"97","13U","0","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI MATTUTINI","frequenza","horizontal","13U_Di","0","","0","0"
"98","13U","0","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI SERALI","frequenza","horizontal","13U_Di","1","","0","0"
"99","13U","0","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI MATTUTINI","frequenza","horizontal","13U_Di","2","","0","0"
"100","13U","0","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI SERALI","frequenza","horizontal","13U_Di","3","","0","0"
"101","13U","0","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI MATTUTINI","frequenza","horizontal","13U_Di","4","","0","0"
"102","13U","0","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: PIAZZA CAMPANELLA, PASSAGGI SERALI","frequenza","horizontal","13U_Di","5","","0","0"
"103","132U","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: PIAZZA ROBOTTI (ALPIGNANO)","dal lunedì al venerdì","horizontal","132U_As","0","","0","0"
"104","132U","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: PIAZZA ROBOTTI (ALPIGNANO)","sabato","horizontal","132U_As","1","","0","0"
"105","132U","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: PIAZZA ROBOTTI (ALPIGNANO)","domenica e festivi","horizontal","132U_As","2","","0","0"
"106","132U","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: VIA DE AMICIS (COLLEGNO)","dal lunedì al venerdì","horizontal","132U_Di","0","","0","0"
"107","132U","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: VIA DE AMICIS (COLLEGNO)","sabato","horizontal","132U_Di","1","","0","0"
"108","132U","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: VIA DE AMICIS (COLLEGNO)","domenica e festivi","horizontal","132U_Di","2","","0","0"
"109","13BU","1","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_As","0","","0","0"
"110","13BU","1","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI SERALI","frequenza","horizontal","13BU_As","1","","0","0"
"111","13BU","1","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_As","2","","0","0"
"112","13BU","1","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI SERALI","frequenza","horizontal","13BU_As","3","","0","0"
"113","13BU","1","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_As","4","","0","0"
"114","13BU","1","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: C.SAN MAURIZIO, PASSAGGI SERALI","frequenza","horizontal","13BU_As","5","","0","0"
"115","13BU","0","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: P.STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_Di","0","","0","0"
"116","13BU","0","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: P.STATUTO, PASSAGGI SERALI","frequenza","horizontal","13BU_Di","1","","0","0"
"117","13BU","0","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: P.STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_Di","2","","0","0"
"118","13BU","0","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: P.STATUTO, PASSAGGI SERALI","frequenza","horizontal","13BU_Di","3","","0","0"
"119","13BU","0","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: P.STATUTO, PASSAGGI MATTUTINI","frequenza","horizontal","13BU_Di","4","","0","0"
