ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000803,halagjtp,,,Pitts Heath,,Pitts Heath,,Pitts Heath,,,,,,,,NE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356089,383167,-2.66101,53.34357,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-03-18T07:40:34,4,new,active
068000000804,halagjtw,,,Pitts Heath,,Pitts Heath,,Pitts Heath,,Pitts Heath Lane,,,,,,SW,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356094,383155,-2.66093,53.34346,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000800,halagjtg,,,Manor Park,,Manor Park,,Manor Park,,Windmill Hill Avenue North,,,,,,S,N0065325,Manor Park,Runcorn,,Runcorn,EN,Manor Park,EN,false,UKOS,355467,383452,-2.67039,53.34608,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2021-06-08T16:18:30,10,new,active
068000000801,halagjtj,,,Sandymoor Lane,,Sandymoor Lane,,Sandymoor Lane,,Pitts Heath Lane,,,,,,SE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,355832,383094,-2.66485,53.34289,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-03-18T07:40:23,4,new,active
068000000802,halagjtm,,,Sandymoor Lane,,Sandymoor Lane,,Sandymoor Lane,,Pitts Heath Lane,,,,,,NW,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,355814,383091,-2.66512,53.34286,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000856,,,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,,,,,,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357619,383220,-2.63803,53.34417,BCT,HAR,OTH,,,,021,1969-12-31T00:00:00,2026-06-30T12:23:04,988,new,active
068000000857,,,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,Keckwick Lane,,,,,,,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357593,383233,-2.63843,53.34428,BCT,HAR,OTH,,,,021,1969-12-31T00:00:00,2026-06-30T12:23:04,1175,new,active
068000000858,,,,Aston Green,,Aston Green,,Aston Green,,Aston Green,,,,,,,E0037837,Preston Brook,Runcorn,,Runcorn,EN,Preston Brook,EN,false,UKOS,356459,380558,-2.65509,53.32015,BCT,HAR,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000859,,,,Aston Green,,Aston Green,,Aston Green,,Aston Green,,,,,,,E0037837,Preston Brook,Runcorn,,Runcorn,EN,Preston Brook,EN,false,UKOS,356468,380544,-2.65495,53.32002,BCT,HAR,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000854,halagmpa,,,Ring o Bells,,Ring o Bells,,Ring o Bells,,Chester Road,,,,,,N,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357956,382852,-2.63292,53.34089,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000855,halagmpd,,,Ring o Bells,,Ring o Bells,,Ring o Bells,,Chester Road,,,,,,S,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357967,382849,-2.63276,53.34086,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000851,halagmjp,,,D Park Hotel,,D Park Hotel,,D Park Hotel,,Chester Road,,,,,,S,E0037818,Daresbury Delph,Daresbury,,Runcorn,EN,Daresbury Delph,EN,false,UKOS,357597,382096,-2.63821,53.33406,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2026-01-15T15:57:25,11,new,active
068000000908,halagtgm,,,Delph Lane,,,,D Park Hotel,,Chester Road,,,,Near,,SE,E0037818,Daresbury Delph,Daresbury,,Runcorn,EN,Daresbury/Delph,EN,false,UKOS,357567,382054,-2.63866,53.33368,BCT,MKD,OTH,,,,021,2026-01-15T00:00:00,2026-01-15T16:01:33,63,new,active
068000000852,halagmjt,,,D Park School,,D Park School,,D Park School,,Chester Road,,,,,,N,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357826,382521,-2.63483,53.3379,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000853,halagmjw,,,D Park School,,D Park School,,D Park School,,Chester Road,,,,,,S,E0053151,Daresbury,Runcorn,,Runcorn,EN,Daresbury,EN,false,UKOS,357820,382494,-2.63492,53.33766,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000860,halagmpg,,,Daresbury Park,,Daresbury Park,,Daresbury Park,,Windmill Lane,,,,,,N,E0037839,Red Brow,Daresbury,,Runcorn,EN,Red Brow,EN,false,UKOS,357167,381592,-2.6446,53.3295,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
